team,overall_elo,offensive_elo,defensive_elo,home_elo,away_elo
Iran,1771.488142,1732.968264,1769.122562,1579.35981,1660.246764
North Korea,1529.713802,1516.268846,1527.594625,1520.025959,1504.199043
Qatar,1568.945676,1639.105473,1558.693802,1512.900334,1542.902883
Mali,1635.163227,1575.552325,1699.652751,1547.442162,1542.811088
Syria,1550.28804,1552.723342,1585.823892,1491.610502,1526.411414
Zimbabwe,1471.348626,1424.311342,1566.47133,1507.50849,1513.85654
Yemen,1394.421069,1403.27019,1435.231211,1428.567999,1508.538369
Tajikistan,1496.634385,1466.23849,1547.144102,1469.198154,1491.507033
Angola,1550.678401,1473.935498,1632.655705,1517.452607,1488.493769
Gambia,1506.140925,1540.358221,1511.108023,1465.613857,1492.060354
Egypt,1698.065207,1602.821528,1719.843715,1668.323003,1459.524339
Tanzania,1414.749165,1353.716984,1573.253323,1449.511014,1464.386677
Ivory Coast,1669.809872,1614.887238,1721.430318,1512.435986,1579.193112
Ghana,1576.403761,1561.957102,1652.219074,1589.1268,1532.870009
Malawi,1446.706592,1369.987759,1531.529778,1499.598281,1398.239799
Bahrain,1522.029174,1506.725628,1626.882683,1359.857956,1591.637926
Hong Kong,1417.582517,1463.860104,1514.495719,1454.771906,1457.770531
Benin,1510.40527,1480.874965,1537.76141,1494.689156,1481.677722
Libya,1522.242234,1487.516082,1560.812247,1528.572504,1402.540182
China PR,1507.793193,1525.863645,1621.533618,1466.381578,1453.495088
Gabon,1540.71297,1521.479128,1548.604371,1532.010698,1473.802106
Mozambique,1487.970711,1473.159954,1492.077892,1478.619192,1528.769978
Indonesia,1482.312724,1552.284126,1500.640057,1510.898208,1472.683786
Oman,1587.068395,1501.775364,1690.639531,1517.312843,1591.288892
Kuwait,1467.834577,1510.786836,1515.234932,1374.690077,1492.709807
Australia,1719.394215,1720.610324,1788.07029,1601.641202,1598.131712
Lebanon,1499.524859,1415.026708,1619.876156,1473.185662,1511.388606
Vietnam,1534.082816,1533.76917,1570.289729,1520.19004,1551.745834
Singapore,1407.161595,1427.755618,1393.791297,1492.006655,1496.591728
Thailand,1559.279294,1625.720332,1561.579914,1537.38767,1497.199159
Jordan,1599.525799,1637.433297,1640.498046,1524.317985,1552.639864
United Arab Emirates,1587.860382,1606.797488,1669.372457,1612.776699,1474.870916
Malaysia,1533.010739,1562.898326,1532.335405,1610.320162,1439.299382
Japan,1762.666926,1954.857392,1799.738737,1545.922559,1626.270151
Rwanda,1426.086197,1378.688687,1588.38053,1425.096062,1495.406334
Kenya,1489.850715,1459.479971,1499.857834,1512.629122,1447.439987
Cameroon,1610.2989,1564.364932,1675.943138,1586.42605,1630.827305
Tunisia,1687.769021,1589.894481,1766.235893,1583.754649,1618.785058
Zambia,1508.73322,1515.401097,1496.411987,1499.647107,1559.081218
South Korea,1745.683751,1757.049252,1733.791824,1571.462678,1624.932454
Burkina Faso,1652.363139,1600.86958,1624.531762,1575.34589,1439.951905
Algeria,1739.069172,1764.837737,1655.353937,1600.969707,1607.015393
Nigeria,1655.840754,1620.230132,1656.13669,1530.745863,1596.737074
Finland,1470.203977,1491.286022,1528.634468,1389.50876,1606.014342
Chile,1613.489021,1601.688131,1695.417213,1616.657565,1484.680085
Panama,1655.673648,1672.067069,1621.217132,1554.004569,1609.274778
Sweden,1607.35609,1660.783335,1599.20281,1521.56509,1515.553935
Poland,1622.851475,1635.696859,1645.411017,1463.330092,1578.176464
Latvia,1310.873452,1300.101444,1411.862243,1292.063294,1518.510849
United States,1661.902372,1773.149323,1751.521043,1611.323897,1566.466387
Honduras,1555.806125,1578.403737,1592.594488,1557.512962,1492.702438
Argentina,1896.829413,1834.234456,1888.593943,1561.606012,1635.836692
Costa Rica,1641.78242,1672.383274,1662.348945,1544.526036,1566.734982
South Africa,1609.557967,1571.131325,1672.126464,1496.0382,1583.690192
Jamaica,1585.512051,1562.905394,1628.071267,1430.877526,1594.118127
Canada,1714.51201,1695.278091,1778.766421,1571.573083,1581.108049
Venezuela,1604.974732,1589.019315,1652.460941,1470.781905,1516.440031
Sri Lanka,1285.020791,1196.002908,1342.622078,1432.557604,1424.361783
Myanmar,1316.363238,1325.561872,1203.791432,1439.246656,1488.859482
Bangladesh,1338.232281,1210.687513,1394.177209,1430.877999,1482.23349
Turkmenistan,1452.288886,1440.569746,1459.462496,1519.115971,1420.374509
Kyrgyzstan,1483.031908,1535.637848,1534.853331,1543.822097,1439.369448
Mexico,1720.653508,1661.378955,1762.444945,1506.01504,1558.03612
Bolivia,1505.156221,1538.282173,1516.666333,1644.928172,1454.944601
El Salvador,1494.803278,1413.393733,1605.345786,1527.462056,1526.633173
Azerbaijan,1349.893166,1365.592715,1412.868665,1361.157681,1532.752244
Guadeloupe,1513.316351,1576.69372,1567.516883,1461.401481,1522.336767
Saint Kitts and Nevis,1432.192473,1386.232489,1387.102831,1429.808945,1466.769686
Republic of Ireland,1549.801249,1498.026678,1660.191507,1452.404137,1605.831446
Brazil,1828.597969,1794.23803,1827.827853,1583.000324,1671.952499
Albania,1532.40711,1449.924108,1664.857261,1415.988686,1589.505746
Northern Ireland,1487.165897,1470.373056,1594.429178,1479.32286,1535.371044
Serbia,1651.604806,1608.720235,1679.333653,1456.477524,1697.533809
Armenia,1376.962331,1450.85384,1288.472659,1387.230861,1485.382545
Belarus,1451.35898,1418.08812,1466.691273,1418.222798,1544.999221
Austria,1659.205141,1700.437166,1694.953709,1505.087666,1652.815343
Denmark,1695.296359,1720.728188,1740.630124,1613.984162,1590.357338
Belgium,1729.125417,1827.636406,1730.510026,1525.862753,1713.032413
Croatia,1750.111805,1731.94046,1749.383341,1542.23762,1660.979032
Bosnia and Herzegovina,1499.346231,1513.575326,1523.013514,1396.425199,1630.38731
Cyprus,1309.82767,1372.628903,1323.709864,1340.449232,1456.955061
Iceland,1500.231707,1579.599108,1498.134782,1468.182863,1520.122703
Guatemala,1564.855276,1559.571815,1650.3876,1627.145758,1515.905644
England,1790.099428,1838.336828,1837.081595,1574.062332,1730.298572
France,1826.119629,1829.582853,1812.118873,1516.687789,1731.900493
Spain,1886.438479,1967.759157,1811.055912,1545.05038,1687.981075
Georgia,1528.555461,1592.371187,1570.274826,1468.339759,1561.931803
Estonia,1367.538633,1374.920748,1394.259959,1296.732288,1548.655178
Germany,1738.216984,1864.592545,1735.962291,1390.603212,1716.616553
Greece,1614.22117,1615.792623,1681.656563,1388.865894,1726.956337
Senegal,1760.862894,1720.189131,1747.189509,1574.64291,1617.984466
Hungary,1589.007014,1558.261631,1623.313296,1441.24047,1633.938784
Russia,1668.840717,1738.72185,1705.809115,1547.35972,1660.656107
Italy,1734.63048,1738.605087,1720.304861,1468.50737,1736.832747
Kazakhstan,1385.660329,1405.539897,1417.047876,1382.420067,1480.907074
Moldova,1304.219059,1287.676454,1289.620965,1325.404785,1509.837253
Luxembourg,1351.502545,1359.930575,1458.863753,1304.37726,1551.021181
North Macedonia,1495.341316,1472.905737,1539.85632,1455.037135,1581.437313
Montenegro,1428.307022,1423.185876,1473.504276,1396.672654,1510.449609
